"Clave","mayor6_leer_esc","may5_asistencia","year","muniYear"
"13016",36882,NA,1995,"13016_1995"
"13017",10695,NA,1995,"13017_1995"
"13018",17229,NA,1995,"13018_1995"
"13019",12524,NA,1995,"13019_1995"
"13020",2487,NA,1995,"13020_1995"
"13021",10565,NA,1995,"13021_1995"
"13022",8822,NA,1995,"13022_1995"
"13023",24302,NA,1995,"13023_1995"
"13024",12590,NA,1995,"13024_1995"
"13025",20852,NA,1995,"13025_1995"
"13026",8470,NA,1995,"13026_1995"
"13027",18764,NA,1995,"13027_1995"
"13028",80875,NA,1995,"13028_1995"
"13029",32052,NA,1995,"13029_1995"
"13030",62547,NA,1995,"13030_1995"
"13031",11026,NA,1995,"13031_1995"
"13032",7204,NA,1995,"13032_1995"
"13033",2602,NA,1995,"13033_1995"
"13034",8060,NA,1995,"13034_1995"
"13035",8558,NA,1995,"13035_1995"
"13036",7406,NA,1995,"13036_1995"
"13037",18696,NA,1995,"13037_1995"
"13038",5744,NA,1995,"13038_1995"
"13039",11639,NA,1995,"13039_1995"
"13040",9623,NA,1995,"13040_1995"
"13041",30291,NA,1995,"13041_1995"
"13042",8777,NA,1995,"13042_1995"
"13043",6249,NA,1995,"13043_1995"
"13044",12822,NA,1995,"13044_1995"
"13045",5555,NA,1995,"13045_1995"
"13046",31398,NA,1995,"13046_1995"
"13047",5311,NA,1995,"13047_1995"
"13048",192375,NA,1995,"13048_1995"
"13049",12869,NA,1995,"13049_1995"
"13050",16696,NA,1995,"13050_1995"
"13051",24726,NA,1995,"13051_1995"
"13052",18408,NA,1995,"13052_1995"
"13053",15168,NA,1995,"13053_1995"
"13054",24794,NA,1995,"13054_1995"
"13055",11677,NA,1995,"13055_1995"
"13056",19499,NA,1995,"13056_1995"
"13057",11114,NA,1995,"13057_1995"
"13058",14574,NA,1995,"13058_1995"
"13059",23831,NA,1995,"13059_1995"
"13060",13585,NA,1995,"13060_1995"
"13061",42367,NA,1995,"13061_1995"
"13062",19539,NA,1995,"13062_1995"
"13063",52545,NA,1995,"13063_1995"
"13064",7537,NA,1995,"13064_1995"
"13065",7515,NA,1995,"13065_1995"
"13066",7496,NA,1995,"13066_1995"
"13067",30547,NA,1995,"13067_1995"
"13068",11827,NA,1995,"13068_1995"
"13069",33718,NA,1995,"13069_1995"
"13070",11377,NA,1995,"13070_1995"
"13071",9653,NA,1995,"13071_1995"
"13072",8444,NA,1995,"13072_1995"
"13073",25969,NA,1995,"13073_1995"
"13074",18162,NA,1995,"13074_1995"
"13075",8597,NA,1995,"13075_1995"
"13076",71650,NA,1995,"13076_1995"
"13077",94680,NA,1995,"13077_1995"
"13078",12838,NA,1995,"13078_1995"
"13079",6825,NA,1995,"13079_1995"
"13080",16276,NA,1995,"13080_1995"
"13081",19480,NA,1995,"13081_1995"
"13082",11799,NA,1995,"13082_1995"
"13083",19962,NA,1995,"13083_1995"
"13084",32829,NA,1995,"13084_1995"
"14001",14987,NA,1995,"14001_1995"
"14002",15454,NA,1995,"14002_1995"
"14003",17294,NA,1995,"14003_1995"
"14004",4391,NA,1995,"14004_1995"
"14005",9473,NA,1995,"14005_1995"
"14006",49336,NA,1995,"14006_1995"
"14007",7737,NA,1995,"14007_1995"
"14008",59860,NA,1995,"14008_1995"
"14009",11480,NA,1995,"14009_1995"
"14010",4709,NA,1995,"14010_1995"
"14011",4578,NA,1995,"14011_1995"
"14012",3895,NA,1995,"14012_1995"
"14013",42428,NA,1995,"14013_1995"
"14014",7939,NA,1995,"14014_1995"
"14015",41624,NA,1995,"14015_1995"
"14016",28703,NA,1995,"14016_1995"
"14017",11592,NA,1995,"14017_1995"
"14018",49906,NA,1995,"14018_1995"
"14019",4185,NA,1995,"14019_1995"
"14020",7401,NA,1995,"14020_1995"
"14021",18020,NA,1995,"14021_1995"
"14022",26362,NA,1995,"14022_1995"
"14023",72333,NA,1995,"14023_1995"
"14024",22408,NA,1995,"14024_1995"
"14025",13786,NA,1995,"14025_1995"
"14026",4680,NA,1995,"14026_1995"
"14027",12916,NA,1995,"14027_1995"
"14028",2147,NA,1995,"14028_1995"
"14029",14599,NA,1995,"14029_1995"
"14030",34633,NA,1995,"14030_1995"
"14031",3211,NA,1995,"14031_1995"
"14032",4287,NA,1995,"14032_1995"
"14033",17805,NA,1995,"14033_1995"
"14034",1996,NA,1995,"14034_1995"
"14035",38740,NA,1995,"14035_1995"
"14036",14538,NA,1995,"14036_1995"
"14037",17792,NA,1995,"14037_1995"
"14038",4235,NA,1995,"14038_1995"
"14039",1426524,NA,1995,"14039_1995"
"14040",7172,NA,1995,"14040_1995"
"14041",6002,NA,1995,"14041_1995"
"14042",7640,NA,1995,"14042_1995"
"14043",19210,NA,1995,"14043_1995"
"14044",17435,NA,1995,"14044_1995"
"14045",16504,NA,1995,"14045_1995"
"14046",22259,NA,1995,"14046_1995"
"14047",16068,NA,1995,"14047_1995"
"14048",17142,NA,1995,"14048_1995"
"14049",9228,NA,1995,"14049_1995"
"14050",29189,NA,1995,"14050_1995"
"14051",9799,NA,1995,"14051_1995"
"14052",5260,NA,1995,"14052_1995"
"14053",104703,NA,1995,"14053_1995"
"14054",5324,NA,1995,"14054_1995"
"14055",15110,NA,1995,"14055_1995"
"14056",2478,NA,1995,"14056_1995"
"14057",2953,NA,1995,"14057_1995"
"14058",12136,NA,1995,"14058_1995"
"14059",9164,NA,1995,"14059_1995"
"14060",6299,NA,1995,"14060_1995"
"14061",10836,NA,1995,"14061_1995"
